Date,Stock_name,Transaction_price,Event,Total_unit,Net_worth
2017-02-07,GSPL.NS,0,Buy,1348.0,211728.7182767868
2017-02-07,GSPL.NS,11211.990411376953,Sell,1348.0,213120.5360929489
2017-02-22,RELIANCE.NS,0,Buy,393.0,213120.5360929489
2017-02-22,RELIANCE.NS,11752.287927246094,Sell,393.0,223656.24627361295
2017-05-10,BHARTIARTL.NS,0,Buy,723.0,223656.24627361295
2017-05-10,BHARTIARTL.NS,12372.372802734375,Sell,723.0,235348.1809354782
2017-07-28,JSWENERGY.BO,0,Buy,3489.0,235348.1809354782
2017-07-28,JSWENERGY.BO,12569.123032379151,Sell,3489.0,238828.47919826506
2017-08-28,JSWENERGY.BO,0,Buy,3787.0,238828.47919826506
2017-08-28,JSWENERGY.BO,12667.515288925171,Sell,3787.0,240740.922577095
2017-09-08,JSWENERGY.BO,0,Buy,3577.0,240740.922577095
2017-09-08,JSWENERGY.BO,12904.027772903442,Sell,3577.0,245185.33934612272
2017-09-20,BHARTIARTL.NS,0,Buy,719.0,245185.33934612272
2017-09-20,BHARTIARTL.NS,13099.428262329102,Sell,719.0,249151.3216672897
2017-09-21,DRREDDY.NS,0,Buy,106.0,249151.3216672897
2017-09-21,DRREDDY.NS,13178.715258789063,Sell,106.0,250844.4115842819
2017-10-25,SBIN.NS,0,Buy,896.0,250844.4115842819
2017-10-25,SBIN.NS,14555.519726562501,Sell,896.0,276653.6809202194
2017-10-26,SAIL.BO,0,Buy,4104.0,276653.6809202194
2017-10-26,SAIL.BO,15718.319686889648,Sell,4104.0,298692.1487089157
2017-11-03,SAIL.BO,0,Buy,3722.0,298692.1487089157
2017-11-03,SAIL.BO,16144.175000000001,Sell,3722.0,306740.9737089157
2017-11-10,SBIN.NS,0,Buy,973.0,306740.9737089157
2017-11-10,SBIN.NS,16227.20690612793,Sell,973.0,308562.9049253464
2017-12-07,BHARTIARTL.NS,0,Buy,692.0,308562.9049253464
2017-12-07,BHARTIARTL.NS,16351.489276123048,Sell,692.0,311082.18469219207
2017-12-22,GSPL.NS,0,Buy,1504.0,311082.18469219207
2017-12-22,GSPL.NS,16604.160229492187,Sell,1504.0,315609.22905254364
2018-02-09,SAIL.BO,0,Buy,3695.0,315609.22905254364
2018-02-09,SAIL.BO,17357.261936187744,Sell,3695.0,329844.2002019882
2018-03-26,YESBANK.NS,0,Buy,1151.0,329844.2002019882
2018-03-26,YESBANK.NS,17457.792851257323,Sell,1151.0,331780.7643758774
2018-04-26,YESBANK.NS,0,Buy,1011.0,331780.7643758774
2018-04-26,YESBANK.NS,17813.819691467284,Sell,1011.0,338685.8761724472
2018-05-28,JSWENERGY.BO,0,Buy,4658.0,338685.8761724472
2018-05-28,JSWENERGY.BO,18107.975000000002,Sell,4658.0,344100.81538753514
2018-05-30,JSWENERGY.BO,0,Buy,4527.0,344100.81538753514
2018-05-30,JSWENERGY.BO,18481.47784538269,Sell,4527.0,351196.89444980625
2018-06-08,GSPL.NS,0,Buy,1972.0,351196.89444980625
2018-06-08,GSPL.NS,18793.16060180664,Sell,1972.0,357152.339866066
2018-07-30,BHARTIARTL.NS,0,Buy,1083.0,357152.339866066
2018-07-30,BHARTIARTL.NS,19054.94344482422,Sell,1083.0,362211.26659946446
2018-08-01,TATAMOTORS.NS,0,Buy,1448.0,362211.26659946446
2018-08-01,TATAMOTORS.NS,19189.61911621094,Sell,1448.0,364814.02980747225
2018-08-29,JSWSTEEL.NS,0,Buy,982.0,364814.02980747225
2018-08-29,JSWSTEEL.NS,19590.9,Sell,982.0,372326.3358011246
2018-09-06,GSPL.NS,0,Buy,2018.0,372326.3358011246
2018-09-06,GSPL.NS,19715.859384155276,Sell,2018.0,374606.6641000748
2018-10-01,YESBANK.NS,0,Buy,2081.0,374606.6641000748
2018-10-01,YESBANK.NS,20898.443135070804,Sell,2081.0,397097.08366642
2018-10-10,SAIL.BO,0,Buy,6328.0,397097.08366642
